ProductID | ProductName        | Category    | Price | Quantity | Discount | Date
-------------------------------------------------------------------------------
101       | Laptop             | Electronics | 1200  | 50       | 5%       | 2023-01-15
102       | Smartphone         | Electronics | 800   | 30       | 3%       | 2023-01-16
103       | Desk Chair         | Furniture   | 150   | 20       | 0%       | 2023-01-17
104       | Office Desk        | Furniture   | 300   | 15       | 2%       | 2023-01-18
105       | Printer            | Electronics | 200   | 10       | 5%       | 2023-01-19
106       | Headphones         | Electronics | 50    | 40       | 0%       | 2023-01-20
107       | Coffee Table       | Furniture   | 100   | 25       | 3%       | 2023-01-21
108       | Smart TV           | Electronics | 700   | 12       | 8%       | 2023-01-22
109       | Bookshelf          | Furniture   | 80    | 35       | 2%       | 2023-01-23
110       | Microwave Oven     | Appliances  | 120   | 18       | 0%       | 2023-01-24
111       | Gaming Console     | Electronics | 400   | 8        | 10%      | 2023-01-25
112       | Dining Table       | Furniture   | 250   | 14       | 5%       | 2023-01-26
113       | Air Purifier       | Appliances  | 180   | 22       | 3%       | 2023-01-27
114       | Fitness Tracker    | Electronics | 60    | 45       | 0%       | 2023-01-28
115       | Sofa               | Furniture   | 350   | 10       | 7%       | 2023-01-29
116       | Blender            | Appliances  | 40    | 30       | 2%       | 2023-01-30
117       | Monitor            | Electronics | 180   | 20       | 4%       | 2023-01-31
118       | Washing Machine    | Appliances  | 300   | 12       | 6%       | 2023-02-01
119       | Vacuum Cleaner     | Appliances  | 90    | 25       | 1%       | 2023-02-02
120       | External Hard Drive| Electronics | 100   | 15       | 0%       | 2023-02-03
121       | Bed Frame          | Furniture   | 200   | 18       | 3%       | 2023-02-04
122       | Toaster            | Appliances  | 30    | 40       | 0%       | 2023-02-05
123       | Electric Kettle    | Appliances  | 20    | 35       | 0%       | 2023-02-06
124       | Wall Clock         | Electronics | 15    | 50       | 0%       | 2023-02-07
125       | Office Chair       | Furniture   | 120   | 15       | 2%       | 2023-02-08
126       | Water Dispenser    | Appliances  | 70    | 20       | 1%       | 2023-02-09
127       | Projector          | Electronics | 450   | 10       | 5%       | 2023-02-10
128       | Microwave          | Appliances  | 80    | 28       | 2%       | 2023-02-11
129       | Computer Speakers  | Electronics | 25    | 45       | 0%       | 2023-02-12
130       | Humidifier         | Appliances  | 50    | 30       | 0%       | 2023-02-13
131       | Portable Fan       | Electronics | 15    | 60       | 0%       | 2023-02-14
132       | Coffee Maker       | Appliances  | 40    | 22       | 1%       | 2023-02-15
133       | Standing Desk      | Furniture   | 180   | 12       | 3%       | 2023-02-16
134       | Electric Toothbrush| Appliances  | 30    | 35       | 0%       | 2023-02-17
135       | Mirror             | Furniture   | 60    | 18       | 2%       | 2023-02-18
136       | Portable Charger   | Electronics | 20    | 40       | 0%       | 2023-02-19
